종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가(원),상장주식수(주),상장시가총액(원)
002990,금호산업,13750,-350.00,-2.48,13750,13700,170984,2357424250,13550,14100,13550,5000,34621101,4.7604E+11
011780,금호석유,75000,-100.00,-0.13,75100,75000,112600,8407525200,75000,75300,72800,5000,30467691,2.28508E+12
001210,금호전기,18450,-50.00,-0.27,18450,18300,17635,320038050,18000,18800,18000,5000,6916051,1.27601E+11
073240,금호타이어,7500,0.00,0.00,7520,7500,680470,5115240040,7450,7680,7330,5000,157993158,1.18495E+12
092440,기신정기,8670,770.00,9.75,8670,8660,334357,2802003330,8000,8670,8000,500,29200000,2.53164E+11
000270,기아차,46000,150.00,0.33,46000,45950,624467,28616272050,45850,46200,45050,5000,405363347,1.86467E+13
024110,기업은행,14250,-550.00,-3.72,14350,14250,907900,13080322500,14650,14650,14250,5000,556401958,7.92873E+12
004540,깨끗한나라,5890,-140.00,-2.32,5890,5880,312331,1873103120,6000,6250,5750,5000,30364959,1.7885E+11
007460,나라케이아이씨,2540,30.00,1.20,2540,2510,34731,87641930,2510,2590,2500,500,11425527,29020838580
001260,남광토건,11550,950.00,8.96,11550,11500,1625454,18390961150,10400,11900,10300,5000,6987183,80701963650
008350,남선알미늄,1110,-5.00,-0.45,1110,1105,228111,254642080,1110,1145,1110,500,110179090,1.22299E+11
004270,남성,1485,-70.00,-4.50,1490,1485,5040,7547475,1550,1550,1460,500,36212160,53775057600
003920,남양유업,730000,-2000,-0.27,732000,730000,825,601338000,734000,734000,720000,5000,720000,5.256E+11
002070,남영비비안,10750,-1550,-12.60,10900,10750,92714,1043242800,11800,12300,10450,1000,6867945,73830408750
025860,남해화학,11750,-300.00,-2.49,11800,11750,523171,6183938750,11850,12100,11600,1000,49678843,5.83726E+11
005720,넥센,86000,0.00,0.00,86200,86000,3463,297833100,85100,86300,85100,5000,5088017,4.37569E+11
002350,넥센타이어,12600,600.00,5.00,12650,12600,622937,7832546400,12100,12800,12100,500,96415877,1.21484E+12
110570,넥솔론,777,-5.00,-0.64,777,776,622001,482879061,782,796,761,500,141779278,1.10162E+11
090350,노루페인트,12650,900.00,7.66,12650,12600,822819,10266711750,11700,12800,11700,500,20000000,2.53E+11
000320,노루홀딩스,33200,-300.00,-0.90,33200,33000,19640,648566200,33200,33900,31800,500,13198611,4.38194E+11
006280,녹십자,252000,7000,2.86,252000,251500,43866,10972079500,249000,254000,245500,5000,11686538,2.94501E+12
005250,녹십자홀딩스,37050,250.00,0.68,37050,36950,53484,1967651050,36900,37450,36250,500,47028210,1.7424E+12
004370,농심,269000,-8500,-3.06,269000,268500,29516,7987484500,277500,278000,267000,5000,6082642,1.63623E+12
072710,농심홀딩스,114000,-7000,-5.79,114500,114000,14386,1651839500,119000,120000,112500,5000,4637790,5.28708E+11
023590,다우기술,17050,400.00,2.40,17100,17050,176558,3005591100,16650,17250,16550,500,44866617,7.64976E+11
020120,다우인큐브,3245,-30.00,-0.92,3335,3245,17998,58883800,3290,3400,3245,500,15832549,51376621505
015590,대경기계,1540,-5.00,-0.32,1545,1540,41736,64497440,1535,1555,1525,500,54739890,84299430600
019680,대교,7820,10.00,0.13,7850,7820,177743,1411782350,7750,8120,7700,500,84702850,6.62376E+11
006370,대구백화점,16050,50.00,0.31,16050,15900,112845,2336538550,16100,16100,15850,5000,10821611,1.73687E+11
004130,대덕GDS,10100,-350.00,-3.35,10100,10050,204373,2083471350,10350,10400,10000,500,20575613,2.07814E+11
008060,대덕전자,7860,-410.00,-4.96,7860,7850,206634,1658275950,8270,8360,7860,500,48796300,3.83539E+11
000490,대동공업,12100,50.00,0.41,12100,12050,72265,878942100,11900,12750,11800,1000,23728210,2.87111E+11
008110,대동전자,5300,40.00,0.76,5300,5130,6977,36588700,5380,5380,5150,500,10490447,55599369100
005750,대림B&Co,18650,-1200,-6.05,18850,18650,338776,6418358500,19800,20050,18350,1000,15501672,2.89106E+11
000210,대림산업,77700,-100.00,-0.13,77800,77700,93082,7223317100,77300,79200,76600,5000,34800000,2.70396E+12
006570,대림통상,6600,-400.00,-5.71,6600,6510,18936,126974620,6780,7290,6260,1000,15225000,1.00485E+11
001680,대상,34200,-1300,-3.66,34300,34200,139164,4820591550,35500,35600,34200,1000,34411575,1.17688E+12
084690,대상홀딩스,23750,150.00,0.64,24300,23750,29030,691564450,24000,24500,23250,1000,36212538,8.60048E+11
128820,대성산업,5040,0.00,0.00,5080,5040,119779,603673855,5010,5200,4900,5000,24087955,1.21403E+11
117580,대성에너지,6430,90.00,1.42,6430,6400,21570,136858610,6290,6430,6280,1000,27500000,1.76825E+11
005620,대성합동지주,46250,-1100,-2.32,46300,46250,2120,96418850,47000,47350,44700,5000,1799077,83207311250
016710,대성홀딩스,13150,0.00,0.00,13150,13000,16002,208731200,13250,13250,12950,1000,16089459,2.11576E+11
003540,대신증권,11250,-550.00,-4.66,11300,11250,268432,3073839750,11800,11850,11200,5000,50773400,5.71201E+11
009190,대양금속,403,-7.00,-1.71,408,403,48736,19767416,415,418,403,500,61589669,24820636607
014160,대영포장,1030,-40.00,-3.74,1035,1030,1884534,1964666480,1065,1075,1010,500,96718949,99620517470
047040,대우건설,6460,-180.00,-2.71,6470,6460,1178985,7654325130,6570,6680,6420,5000,415622638,2.68492E+12
009320,대우부품,910,20.00,2.25,910,909,56798,51521237,893,919,891,500,39226790,35696378900
