종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가(원),상장주식수(주),상장시가총액(원)
137940,넥스트아이,5300,60.00,1.15,5300,5250,13510,71114030,5240,5350,5170,500,7949344,42131523200
092600,넥스트칩,6500,80.00,1.25,6500,6470,13186,85507910,6570,6570,6450,500,13297500,86433750000
041140,넥슨지티,14150,-250.00,-1.74,14150,14100,276766,3988072900,14400,14800,13900,500,35373322,5.00533E+11
031390,녹십자셀,69100,2200,3.29,69300,69100,259178,17997507800,66900,71000,66100,500,11695939,8.08189E+11
142280,녹십자엠에스,27150,-650.00,-2.34,27150,27100,241433,6603792000,27600,28450,26450,500,9560000,2.59554E+11
054050,농우바이오,23800,-100.00,-0.42,23850,23800,62576,1490137800,23600,24350,23350,500,14300000,3.4034E+11
040160,누리텔레콤,11200,-450.00,-3.86,11200,11150,1205979,13673328400,11400,12100,10750,500,12055535,1.35022E+11
069140,누리플랜,3970,-220.00,-5.25,4020,3970,30754,123423835,4105,4110,3965,500,4540083,18024129510
126870,뉴로스,11950,-550.00,-4.40,11950,11750,144056,1728977100,12500,12500,11600,500,6981736,83431745200
060260,뉴보텍,1410,-200.00,-12.42,1415,1410,2225389,3251933635,1630,1645,1365,500,24613919,34705625790
012340,뉴인텍,1295,-55.00,-4.07,1295,1290,408426,533075435,1340,1345,1280,500,38125160,49372082200
085670,뉴프렉스,1925,70.00,3.77,1925,1910,47392,87690620,1890,1925,1805,500,12147158,23383279150
053290,능률교육,3915,-50.00,-1.26,3915,3910,20298,79378200,3925,4000,3885,500,11549500,45216292500
119860,다나와,10800,-400.00,-3.57,10850,10800,93769,1021655800,11200,11250,10800,500,6624911,71549038800
064260,다날,9250,-440.00,-4.54,9300,9250,530458,4983131030,9550,9720,9230,500,21603220,1.9983E+11
093640,다믈멀티미디어,3960,-325.00,-7.58,4000,3960,380751,1551965145,4130,4295,3960,500,6420676,25425876960
039560,다산네트웍스,6460,0.00,0.00,6480,6460,170314,1102473310,6460,6560,6380,500,18476006,1.19355E+11
032190,다우데이타,16400,-1000,-5.75,16400,16350,431770,7312408700,17300,17750,16400,500,35700000,5.8548E+11
068240,다원시스,27750,-750.00,-2.63,27800,27750,144062,4041913650,28500,28500,27700,500,13242096,3.67468E+11
035720,다음카카오,105600,-5200,-4.69,105600,105500,639238,68437933100,109200,110500,105000,500,59885555,6.32391E+12
012860,대동,4315,105.00,2.49,4320,4315,45908,193047665,4170,4315,4105,500,27000000,1.16505E+11
020400,대동금속,35000,-1050,-2.91,35150,35000,7801,266486250,34700,35850,32900,5000,480000,16800000000
008830,대동기어,29650,-100.00,-0.34,29650,29400,1153,34353950,29850,31000,29150,5000,898752,26647996800
048470,대동스틸,3440,-60.00,-1.71,3440,3435,58132,200722450,3520,3530,3425,500,10000000,34400000000
004780,대륙제관,9170,70.00,0.77,9190,9170,153305,1404379770,9100,9410,8910,500,15903199,1.45832E+11
017650,대림제지,4705,-135.00,-2.79,4720,4705,62081,293620380,4800,4800,4690,500,9000000,42345000000
007720,대명엔터프라이즈,1290,-85.00,-6.18,1290,1285,921516,1204677590,1335,1370,1265,500,100800450,1.30033E+11
078140,대봉엘에스,12100,-550.00,-4.35,12150,12100,224586,2717337800,12550,12600,11750,500,11086579,1.34148E+11
036480,대성미생물,131900,-12600,-8.72,133300,131900,7393,993080300,137000,137500,131500,5000,380000,50122000000
025440,대성엘텍,900,0.00,0.00,900,896,29618,26478053,917,917,890,500,68755006,61879505400
027830,대성창투,2545,-50.00,-1.93,2565,2545,598740,1542311640,2620,2635,2520,500,40000000,1.018E+11
104040,대성파인텍,5440,20.00,0.37,5440,5390,40663,218488010,5420,5580,5100,500,5338167,29039628480
020180,대신정보통신,851,-31.00,-3.51,851,843,255624,217239765,882,882,840,500,38428915,32703006665
045390,대아티아이,1405,-20.00,-1.40,1405,1400,1004788,1403663140,1420,1425,1380,100,70791032,99461399960
108380,대양전기공업,13650,-300.00,-2.15,13650,13600,9688,132903650,13800,14000,13650,500,9567333,1.30594E+11
006580,대양제지,17100,-400.00,-2.29,17200,17100,3296,56505650,17600,17600,17050,5000,2685000,45913500000
215480,대우SBI스팩1호,2455,-280.00,-10.24,2460,2455,180304,447843915,2540,2590,2400,100,3535000,8678425000
